prof,gender,class,class_abrev,review_grade,review_text
Jeffrey Snyder,NA,Evolution of Human Sexual Behavior,ANTHRO 124S,B-,"This class is well planned and the slides are like gold all the answers you need are there. There are study guides for the exams which you MUST complete ALONE. The tests are hard because he looks for very specific terminology in your answers, these terms are used in the slides and you must remember them. I learned a lot from this class and enjoyed the lectures.  the class is graded 10% pop quiz scores, 40% midterm, 50% final."
Jeffrey Snyder,NA,Evolution of Human Sexual Behavior,ANTHRO 124S,A,"Dr. Snyder is very knowledgeable in this field. He takes great lengths to explain concepts so they are understandable and does everything he can to make this class an inclusive one. He performs in class quizzes with the iClicker and the exams are given ahead of time so you can prepare. if you pay attention and read the required documents, you will get a great education and a good grade."
Thomas Wake,NA,Selected Laboratory Topics in Archaeology,ANTHRO C117,A,"Wake is the coolest professor ever.  He assigns a ton of reading and his exams can be a lot of writing, but it's totally doable. First or second week of class, Wake busts out a bunch of frozen deer legs on the table for students to deflesh for their final projects. Using your hands to make tools or ornaments using the same technology as our ancestors was such a fun and immersive process. I highly recommend taking a class with Dr. Wake if you are at all interested in lithics."
Thomas Wake,NA,Selected Laboratory Topics in Archaeology,ANTHRO 117P,A,"Professor Wake is one of the most amazing professors at UCLA. I've taken all of his courses, and they were a bit difficult to handle at first. The professor, however, does an excellent job of helping you along the way. Since this is a selected topics course, there are no more than 15 people in the class. Therefore, the professor gets very involved with his students. This is a hands-on learning experience that beats any lecture. I have learned more from his selected topics courses than any other Anthropology lectures. His tests are a little difficult, but if you are attending all the lectures and keeping up with the readings then you are in solid shape of getting a good grade. Dr. Wake is a brilliant man, and a gem to the Anthropology/Cotsen Archaeology department!"
Thomas Wake,NA,Selected Topics in Archaeology,ANTHRO 119,A-,"This was a excellent course on the archaeology of Lower Central America. It covers the archaeology of Nicaragua, Costa Rica, and Panama. It starts from the middle Pleistocene and ends at around 1500 A.D. It also covers topics such as paleo-Indian lithic technology and subsistence, and includes various culture areas and early material culture. Just keep in mind this course does not cover Mayan archaeology! Your grade consist of five quizzes, a midterm, and final exam. All quizzes were short written answers identifying material culture or identifying geographic points on a map. The midterm and final consisted of 20 questions each. Some questions on the exams were mix and match, others were short and long essay answers. To be honest the exams were not difficult if you did the readings and went to lecture. Plus he did provide study guides! Just keep in mind that he does assign a ton of reading the first 5 weeks. At times I became frustrated because we had over 100 pages of reading a week before midterms, ugh. It was tough for me because I had to grind while taking 4 courses this quarter; but it’s totally doable if you’re taking 3 classes. Also, Dr. Wake only answered 1 out of 3 emails I sent him and he didn’t give us our midterm grades until week 10! The latter due to some administrative departmental issues with acquiring a grader for our exams. I’m sure that’s not his usual grading routine, but nonetheless nerve racking. Other than that he was a excellent professor that is very insightful about archaeology and I would definitely recommend this class!"
Thomas Wake,NA,Selected Topics in Archaeology,ANTHRO 119,A," Archaeology of Lower Central America This class was fun and easy. Every week he gave a 10pt quiz, but often times the quiz was just signing in to make sure you were there.You have to memorize a lot of geography and dates and things — tests are memorization based. But I found that pretty doable.The grade is based on those quizzes, midterm, final and a final research paper on a topic of your choice.Professor Wake has a sort of dry humor I enjoyed and he’s really great in his field, I liked hearing about his experiences in Central America.Overall I recommend."
Thomas Wake,NA,Selected Topics in Archaeology,ANTHRO 119,A-,"ARCHAEOLOGY OF EXTINCTION 118Honestly, I love Dr. Wake as a person. His stories and anecdotes are great and he is definitely passionate about his field of study, but I would NOT recommend his course unless you are a fan of taxonomy and geography. There are map quizzes and taxon quizzes, which really have nothing to do with the lectures. You are expected to anticipate the Genus and Species names that will be on the quizzes as well as the countries, not from a study guide or lectures, but from the readings. Though I went to his office hours and asked for pointers repeatedly, he was not willing to give any direction at all. That being said, the study guide for the midterm was very helpful and so was the one for the final. I think Dr. Wake is a great professor, but he is not willing to go above and beyond for his students like some other professors I've had at UCLA. He only offered extra credit after the class repeatedly begged for it because most people got low scores on the quizzes, around 40-50%. Going to class and keeping up with the readings is essential."
Thomas Wake,NA,Selected Topics in Archaeology,ANTHRO 119,B,"ARCH OF EXTINCTION - You will be memorizing over 150 scientific species names and the location of multiple countries, ecosystems, and other important places. You won't have a lot of notice for what to focus on.  It's a lot of work for one class.  If you have any interest in zooarchaeology, the megafauna of the Pleistocene, animal conservation, etc... you will be able to make this class interesting for yourself with some effort. It's just a lot of material, and he isn't the most accessible professor. He never answered emails from me or my classmates. He is very helpful in office hours though.  He also does offer extra credit and he does give study guides, which is great!"
Teruko Vida Mitsuhara,NA,Ethnography of Everyday Speech,ANTHRO 151,N/A,"Engaging professor and interesting material, no required textbook and she gives all the readings as pdfs for free online. This class is heavily dependent on a group project component. Pick your group carefully as 70% of your grade depends on your group work. Prof. is young and has a lot of passion but isn't necessarily approachable and is quick to criticize if you disagree with her or misunderstand lecture material. Office hours are super early in the morning too which sucks for students who don't like waking up so early (class was at 9am, OH from 8-9). I would probably not take a class with her again because the lecture material became really repetitive and boring in the second half. Good news is there was no midterm or final exam, just one theory quiz around week 7."
Barney A. Schlinger,NA,Hormones and Behavior in Humans and Other Animals,PHYSCI M140,A,"I had high expectations going into this class, and although I was not disappointed, it was just okay. There is two non-cumulative tests, a midterm and final in class. There is also an essay on a behavior and hormone of your choice, although the instructions are not the clearest. The tests were often harder than they had to be, even though the material was not too in depth."
Min Li,NA,Chinese Civilization,CHIN 50,A,"The class is mind-blowing and easy A at the same time. If you are interested in Chinese history, definitely take it. The prof is very passionate and taught clearly, I really like him!"
Min Li,NA,Chinese Civilization,CHIN 50,A+," ***You can find more reviews for this class if you look up ""Li Min!""  That is the Chinese arrangement of his first name and surname!  I took this class remotely, so I can't say how it is normally. With that said, it's not a free A. I wouldn't consider it an easy GE. The majority of the class (including myself) was confused as to what was happening for much of the quarter. I think the only reason this class was alright for me is because I had a pretty good understanding of Chinese history beforehand. Grades were based on a scores from 4 pop quizzes, a presentation, discussion participation, a midterm, a final exam, and a final paper. We didn't have any other assignments, so this really is one of those classes that relies on just a few assignments. As for the professor, his lectures didn't feel useful. He's an archeologist, and the first half of his lectures reflect that quite a bit. Lectures felt pretty unorganized, so after the midterm, I honestly just stopped watching the lectures and relied on the textbook instead. PLEASE GET ACCESS TO A TEXTBOOK IF YOU CAN!! It's probably the only reason I got the grade I did. For the final paper, I'd 100% recommend asking your TA for feedback before you submit. It helps you know exactly what they're expecting, which was important since we didn't get a rubric or anything. Final paper was 20% of our grade. Other than that, just be sure to put effort into your presentation and try to talk during discussions."
Min Li,NA,Chinese Civilization,CHIN 50,A,"It’s not a free A. It’s a history class so u do have to memorize a lot of stuff. But he provided study guides for tests, so it’s definitely easier."
Min Li,NA,Selected Topics in Archaeology of China,ANTHRO 116Q,A,"As a person, nice and accommodating. As a professor, not the worst but not particularly engaging. Participation is mandatory on the syllabus but he doesn't take attendance. Personally, I found the lectures boring and he tends to ramble a lot. Open book tests, 1 literature review, and a 10-page final paper. You can pass the class if you just use his textbook, which he provides for free."
Luke Yarbrough,NA,Making and Studying Modern Middle East,M E STD M50CW,A,"Professor Yarbrough's class, was, albeit chaotic and a decent amount of work, a really rewarding class where I got to learn a lot about the Middle East (MENA) region and was able to workshop my writing skills. This class was definitely a mixed bag for me, lets start with the negatives. Prof assigns A LOT of readings, while this is to be expected from a writing II course, at times it can get out of hand. Week 2 he assigned us an entire 150+ page novel to read by his thursday lecture in addition to several other 15 page articles. Much of this reading is quite interesting and non-academic, but it is still a lot of work to get through. There are also quite a lot of films assigned, but I actually had a good time watching most of them. To be completely honest you can get away with skimming or even not reading a lot of the assigned readings as long as you pay attention to lecture and listen to your TA during section( thats what I ended up doing). The other negative is the amount of work required for the class, not only are there the two major papers for the quarter, there are also weekly reading checks that are 2 pages long, and a seperate midterm and final. To make matters worse the essay prompts, especially essay 2, were suuuper long and convaluted, the prompt for the second essay was a big paragraph, and to be honest after submitting my essay, I still dont really know what the prompt was. Okay, now onto the positives. The prof is incredibly enthusiastic about the course material, he is always really excited and makes the lecture experience so much more interesting. Usually I fall asleep during lectures, but I always enjoyed his and couldnt wait for them each week. After an essay submission he gave us a ""pizza party"" esque day where we watched a fun film and got to try a bunch of middle eastern food which was insanely fun. The TA is also a lifesaver in the course, I got lucky and got a great one who helped me workshop my essays and fix them when they needed help. She gave so much feedback on it and helped me improve it, and my writing skills in general a ton which I really appreciate. Finally, the prof offers 2% extra credit for two short 1 page responses to films which I would definitely recommend, as it is a little work for such a large grade bump. Overall I would definitely recommend this course because of the great professor and interesting material, but be prepared for a lot of reading and writing."
Luke Yarbrough,NA,Making and Studying Modern Middle East,ANTHRO M67W,A," I took this class for a GE / Writing II credit. If you are in the same position, DO NOT TAKE THIS CLASS!Also as a disclaimer, I am getting an A, so I'm not salty about grades, this class is just a HUGE time commitment for what a GE should be... I am a neuro major and am used to putting in a good amount of work for my classes, but this class was sucking up more time than all my actual major classes combined!I had to take it and stay in it because I was a graduating senior, otherwise I would honestly have dropped within the first couple weeks and waited to take a lighter GE.  GRADING:Attendance of discussion (not required for lecture): 10%Participation	in discussion: 10%Response papers /Focus Question Answers (300-500 words per week): 10%Midterm Exam: 15%Final Exam: 15%Essay 1, 7 pages (draft=5%, revision=10%): 15%Essay 2, 9 pages (draft=10%, revision=15%): 25% CLASS: Two 1h15 lectures a week (that thankfully are recorded). Slides are about 50 per lecture with nothing but pictures in them and random words... so be prepared to take the fastest notes of your life or watch the recordings slowly to catch all the details -> because the exams will ask about detailed information the professor says in lecture.He is honestly a nice man and good lecturer, I'd love to listen to him as a podcast, but hated having to actually absorb every single detail he mentioned in class for the exams... he could at least add some more text to slides so you can focus on listening instead of writing all the small details... or make the exams be less into the details. The level of detail honestly makes it seem like you're a graduate anthro student instead of an undergraduate GE student... DISCUSSIONS (1h per week): if you can, have Emma as your TA, she was the one blessing in this class! Every week you must show up and participate a little bit for points, and then you also need to turn in a weekly focus question (300-500 words) based on a question from the readings. It took me about 1h a week to do the focus question (not counting the time to do the readings!) Readings: they are the reason this class is ridiculous. I could deal with the detailed lecture aspect... but the amount of readings required for this class is absurd. There were weeks where we'd have to do 100+ pages of readings, watch a 1-2h movie, and read an 30 min-1h article! IN ONE WEEK! I'd spend easily 4-5h a week on the materials... and I wouldn't read the actual novels, I'd either skim or read many notes and articles about them... because I cannot read a freaking book a week for ONE class... and also because you had to pay for them a lot of the times which seems ridiculous to me when there's so many good, free and shorter reading sources he could've picked instead the problem is that you need the readings to both answer the focus question each week, as well as for the exams! If you don't do them you will most likely fail the class, which is what makes it such an impossible time commitment. The articles were normally a good read, some shorter videos we're good too. The problem really is with having whole damn novels some weeks... if the professor cut it down to 1-2h a week of extra material it would be much more reasonable. Exams: 50 questions each, non cumulative, open note. Half the exams are on the lecture and the other half is on the readings. He will go into detail. It is not enough to know the symbolisms or meanings in each reading, he will ask you for specific information about them. I missed an exam question on a reading that I had done from start to finish because it was super detailed... it's just not reasonable to expect us to go into that level of detail for so many readings per week. I made copious notes on each lecture + for each reading, added notes from friends, from discussion section, ect... it really was a lot of work... Essays: The first essay is analysing a boundary in one of the readings for the class, the second one requires more outside research and extra sources. You first turn in a draft and then a final version. I spent a lot of time on these... maybe 20h each easily between drafts and final versions. I suggest treating your draft as the final version, because they do grade it expecting a pretty decent essay already. If you a 3-4h effort the night before I really doubt you'll get a good grade on your draft. I was lucky that my TA was amazing and helped me a lot during OH... but once again, this took a lot of time and effort on my end. Once again, you have been warned. The time commitment for this class is insane! You're looking at 3h30 of class + 1h for weekly homework + 4-5h for readings (assuming you only read the articles or sources that are less than 40 pages and then read summaries on the novels or bigger movies, otherwise it's even more...). That's 10 hours a week for basic stuff. Then add the time for essays (easily 40h a quarter) plus studying for the finals and organising all your class notes and reading notes (easily another 30h)... divide it all amongst 10 weeks and you're looking at 15-20h of work per week to get an A (some weeks more, some less depending on when deadlines are coming up...).  Even if you don't want an A and you just want pass the class, I really doubt you can get away with less than 10h a week of work... If you love anthro and this is your jam, by all means go for it, it is doable.But if you just want to take an interesting GE and get your writing II credit, learn a bit about something different, and have a manageable work load, this class is NOT it"
Luke Yarbrough,NA,Islam and Other Religions,ISLM ST M115,A," TLDR: It's a scoring class with interesting material, however you need to put in  effort. So it is not difficult, but it is time consuming. I would recommend you to take this class and Prof Yarbrough is a great lecturer. Took this class partly online as it was in Winter 2022. The professor is great to listen to and the lectures and subject matter are generally interesting. This is an upper div but I took this class as a freshman and got an A. Prof Yarbrough is a good teacher and interesting to listen to with a sense of humor. The class is about Islam and how it has interacted with other religions (or societies) in many different ways. Themes taught in the class include the treatment of non-Muslims in Islamic empires, Islam and violence, Muslims in Europe now etc. He makes lectures very interesting and I liked the lectures a lot. Most classes were structured like this: The professor will explain some basic concepts, dive deeply and analyze some examples like a case study, give a conclusion and then present like an original insight/takeaway from this. It was interesting and engaging. Lectures were fun, the readings were not. There are a lot of readings and you will NEED to do the readings. Expect around 60-100 pages of reading a week. Most of the readings will be very dense, academic texts or really old historical texts and they will be dry and challenging. The readings are rigorous and will need effort. 60% of the total grade is more or less guaranteed if you do the very very bare minimum and you can easily score 80% with minimal effort, getting an A requires some effort but again it's not a difficult class.  One good thing is that all the readings (which reading is due for when) and the syllabus (which mentions the focus question for each week, details about your final paper etc) are given to you at the start of the class itself so you can plan accordingly and get ahead if you have some free time early on. Grading:10% Discussion section attendance10% Discussion section participation10% Weekly Focus Question Submission10% Weekly Micro-Quiz20% Midterm 20% Final Exam20% Final Paper More info: 1. Each week you submit a one page focus question response with each response worth 1% of your total grade. So there will be a focus question which will basically require you to answer it and use evidence from the readings to support your answer. However, this did not take much time because you do not really need to present a world class essay or anything. Just have complete sentences and cite the appropriate evidence from the readings (which after reading the focus question you can search the readings for key words and quickly find) and you will be fine. Honestly I wrote most of these before I even went through the readings and each week's response took under 20 mins to do so I was fine. 2. Micro-quiz: at the start of every Thursday's lecture, we will have a 10 minute 5 question micro-quiz with fill in the blanks, MCQ or T/F questions. Each micro-quiz is worth 1% of your grade. The quiz will be about the big picture ideas of the readings or basically be a multiple choice question about what is the thesis of the author of a certain reading. It is a pass/fail micro-quiz meaning you get full credit if you get 3/5 correct or more and you get 0 if you get 2/5 or below. Even if you barely skim the readings, this should be easy. I went through many of these without doing the readings and still passed the quiz because I used my common sense. 3. The mid-term and the final have half of the questions allocated to content from lectures and half to readings alone. So half of your questions will be exclusively from the readings. The questions are very straightforward and quite basic so if you did the readings you will be fine and won't have to sweat, but that said you need to do the readings. 60% of each exam is based on MCQ/ TF/ Fill Blanks questions and the remaining 40% was based on 2 essay questions (500 words each). That said, the 2 essays were chosen from an essay bank of 5 questions that was released like a week before so you can prepare for this easily. Our exams were open book so that was great too, though I do not know if they will be open book or online henceforth after Winter 2022. 4. The final paper basically requires you to do what the professor does in each lecture: analyze an interaction across a boundary and draw an original insight from that, and using the readings (separate readings assigned for the final paper) explain what happened, how this interaction played out and why it happened the way it did and not any other way. You will be given like 3-4 different choices and you can pick a topic. Again, the details of the final paper are released more than a month in advance so it is easy and nothing to stress about. My paper was like 6 pages so not a big deal."
Luke Yarbrough,NA,Islam and Other Religions,RELIGN M115,A," Ok, so I took this GE since I needed another class.  I'm saying this review as someone who has very little original interest in Islam.  I will discuss each portion by itself. Professor: Yarbrough is one of the best lecturers I have ever had in my life.  He is funny, engaging, and extremely well spoken.  Classes are 75mins, and while they do feel long, it's not nearly as bad with Yarbrough as it is with other professors.  I went to his office hours once, and he was nice and friendly.  While being very nice, I doubt that he's lenient, though I've never been put in a position where I had to test this.   Easiness:This is not a free A, but there is a good chance to get an A with a decent amount of effort.  This class is not hard, but does take effort/time. Time Consumption:This class takes lots of time.  There is an above average amount of reading in this class, and the once a week HW assignment takes a decent amount of time.  Readings:Unfortunately, you can't get away with not doing the readings.  Both the midterm and final are half based off the readings, as are the weekly assignment.  I can't imagine getting more than a 80% (at the absolute most, more realistically 50%) in this class without reading.  There is about 40-70 pages of reading, depending on the week.  Interest:I didn't really like the subject, but that's just me.  Still, it ended up being mildly interesting.    Key Assignments: There is a midterm, final, and final essay, all put together worth ~60% of the grade.  If you take decent notes during lecture and while reading, you should get at least a high B/low A on the midterm/final once you review.  You'll have to study ~ 4 hours for each, so not that bad (if your notes don't suck).  Final essay is 5 pages with about 80 pages of reading.  Get started early so that it doesn't conflict with your finals.   Overall: Great professor, lots of work for a GE, not that difficult.  Extremely fair and organized."
Luke Yarbrough,NA,Islam and Other Religions,RELIGN M115,A-,"I was really excited for this class until it started. We were assigned an insane amount of readings each week, ranging from 80-120pages worth of readings. We were required to engage thoroughly with each reading, as were was a weekly quiz/focus question, as well as a cumulative midterm for weeks 1-5 and final (6-10). The readings were very complex and boring, which is unfortunate because with religion classes there are so many beautiful, informational readings that could have been assigned, but we were instead required to read historical theory, jargon filled readings that really turned me and so many others away from the subject. I have taken multiple religion classes before and this one by far has been the worst because of its heavy workload and uninteresting material.  This class definitely took the cake for being my most time consuming course thus far."
Luke Yarbrough,NA,Islam and Other Religions,RELIGN M115,A+,"Dr. Yarbrough is awesome! Even though this class was online, I looked forward to all his lectures. However, if you'd like to take this as an easy GE with little prior interest about Islam, I'd advise against it. There is a lot of readings/work every week with a reading quiz and reading reflection and it was a lot to keep up with. However, if you are interested in Islam and have room for a more heavy GE I'd highly recommend! I learned so much and I am so happy I took this class. The tests require studying but are very fair. they truly demonstrate your knowledge and questions are fairly straightforward."
Luke Yarbrough,NA,Islam and Other Religions,RELIGN M115,A,"Unfortunately Dr. Yarbrough will leave UCLA after spring 2020 to do research in Israel. He is a humorous and very clear professor. He is also caring and quick to respond. One thing though is the class consists of small points, especially participation is 25%. Tests are a bit tricky, mainly because there are so many readings. In short, he is great, but you will have to read a lot every week to do well."
Luke Yarbrough,NA,Islam and Other Religions,RELIGN M115,A,"By far, my most favorite class ever! I didn't know much about Islam before taking this class, as I had only chosen to take it for my GE, but this class opened up my eyes to a whole different level. I learned so much not only about Islam and Muslims, but about the interactions between Islam and Christianity, and Muslims and other races/ethnicities. I was able to see connections regarding similarities and places of conflict when differences were shown. It helped me see a lot of issues in a whole different light, and realize how sometimes the media manipulates issues regarding Islam and its followers. I even got the chance to visit a mosque, which was so interesting. We even had a meal there. Overall,  Yarbrough is a great lecturer and helps us understand the concepts, even if some of the religious concepts may be hard to understand. Every week, I looked forward to coming to class and learning more. Yarbrough also loves to make funny jokes, which helps make lecture go faster. The grade breakdown for this class is Attendance (5%), Class Participation (20%), Micro Quizzes (10%), Focus Question Weekly Answers (10%), Midterm Examination (20%), Micro-Final (15%), and Final Essay (20%).  I would highly recommend taking this class!"
Jessica Lynch-Alfaro,NA,Integrative Approaches to Human Biology and Society,SOC GEN 5,A+,"Do not be scared of the readings!! You don't really need to do them, maybe skim them and know the general idea. Everything else will be gone over in lecture and the mandatory discussion. The exams are very direct, and they provide midterm and final study guides (terms/key concepts to know). The material is actually really interesting, however, they don't post slides so make sure you have a friend to get the lecture slides from if you miss.  There is one 7 page essay, but it is easy because you are making a mock trial testimony thing so you can talk like a regular person. Highly recommend this class as an easy and interesting GE!!"
Jessica Lynch-Alfaro,NA,Integrative Approaches to Human Biology and Society,SOC GEN 5,A-,"Beware of the amount of reading required for this class. The exams are alright as long as you did the study guide and understood all the terms. Overall, this was a pretty generic GE. I am also selling the printed book of Island of Dr. Moreau for 5 dollars. Feel free to message me at 661-292-9419."
Jessica Lynch-Alfaro,NA,Integrative Approaches to Human Biology and Society,SOC GEN 5,A+," This was my favorite class I have taken so far at UCLA.  Professor Lynch-Alfaro is an AMAZING professor who genuinely cares about both the subject and her students.  There are a few reading assignments each week, but I found them really interesting.  Along with that, there are short weekly assignments for the discussion section.  There are also a few 5 question reading quizzes throughout the course and if you do the reading and pay attention in lecture, you can definitely get a 100% on all of them, which is nice because they count for 20% of the final grade.  The rest is just one 7 page paper, a midterm and  final.  The midterm and final are both multiple choice/short answer/long answer.   Grading:20% reading quizzes20% discussion (based on weekly assignments and participation)20% essay20% midterm20% final This is such a manageable course and the topics are extremely interesting and important.  Would definitely recommend to all!"
Jessica Lynch-Alfaro,NA,Integrative Approaches to Human Biology and Society,SOC GEN 5,A-,"One 7 page paper One midterm and one finalGreatest teacher every! recommend to all students. Easy material to understand. tests could be challenging but not too hard.Multiple choice, short answer and long answer tests. HIGHLY RECOMMENDED"
Jessica Lynch-Alfaro,NA,Genetic Concepts for Human Sciences,SOC GEN 101,N/A,"Soc Gen 5 I had professor Alfaro for the second half of the course  (Professor Landecker taught the first half). Professor Alfaro was great ! Everything you need to do well on the quizzes and final were her power points, which I suggest to definitely print out & memorize. She tries to keep the class engage and is really passionate about the subject & she is SO helpful during office hours! Because of office hours, I did really well on the the final :DThis isn't a hard class and I totally recommend it ! "
Jessica Lynch-Alfaro,NA,,SOC GEN 102W,N/A," Actual class taken: Society and Genetics 5 Dr. Lynch Alfaro taught the second half of the course, the first half was taught by Dr. Landecker. Lynch Alfaro was by far the better professor. She did a good job of holding students attention, but the lectures were still somewhat dull.  She was very kind when I attended office hours and was happy to help students who asked. The grading consisted of the following:Participation: 20%Midterm 20%Paper 20%Quizzes 20%Final 20% Participation was simply attending discussion, doing the standing assignment each week (read 2 of the assigned articles and write key terms, a 1 sentence summary, and 1 question you have for each article), and actually participate a little bit.  It's easy points. The midterm consisted of multiple choice, short answer, and essay questions.  It was graded harshly.  You would get marked down for not using specific words on questions or for not including enough information on what many thought was the least important part of the question.  The average on the midterm was a C. The paper is 7 pages on antibiotic resistance or the microbiome. It consists of 2 different 3 page mock testimonies to congress on the issue and a 1 page introduction.  Pretty easy stuff. There were 5 quizzes (all in the second half of the course).  5 multiple choice questions.  They were supposed to cover the readings and lectures from the previous two classes, but honestly just review the lecture notes and you'll ace all of them.  The lowest score gets dropped, so 4 quizzes at 5% of your grade each. The final was not cumulative (midterm took place really early) and was actually easier than the midterm.  Again, multiple choice, short answer, and essay questions. There are a lot of assigned readings.  It is worth it to read all of them early on (make sure to highlight and take notes) to help with the paper.  After the paper, there really isn't a reason to read more than necessary to complete the standing assignment each week. The class isn't too difficult.  There are definitely easier GEs out there, though.   Also, I highly recommend you print out the lecture slides and use them to take notes.  It will make it much easier to pay attention to what is said in lecture."
Jessica Lynch-Alfaro,NA,Problems of Identity at Biology/Society Interface,SOC GEN 105B,N/A,"Idk if this is an unpopular opinion but I thought this class was bad. It's a shame since I was really looking forward to it since the topic of addiction is extremely interesting and important and it was a core major course. The lectures were the worst as the professor just reads word for word from jam-packed blocks of texts that basically just reiterate what was already on the reading and most people stopped going after the first week. I often had no idea how we were progressing through themes/topics by week, and it seemed intellectually disorganized. Readings were often really dense and over-focused on the neurobiology of addiction at the expense of other topics/angles. I like HBS major classes that embrace the interactive learning model and that approach topics from an interdisciplinary lens and the overall unengaging course style and readings I felt didn't align with the major. The workload itself for the class was fairly easy/light though as all that is required is weekly ""standing assignments"" which are like reading reflections, going to discussion sections and participating, doing a film/book review on a piece with themes of addiction, a final essay, an open book midterm, and an open book final. Didn't feel like I needed to put too much time into the project or essay, but that could just be me, and same for the exams as they were open note and we had a pretty good amount of time. I feel like this review will be unpopular because the professor herself is nice and cares about her students and the workload/grading wasn't bad at all, but I felt like I didn't learn as much as I wanted. I wouldn't recommend it to anyone who doesn't have to take it for a major/minor, but if you do, there are definitely worse classes at UCLA."
Jessica Lynch-Alfaro,NA,Problems of Identity at Biology/Society Interface,SOC GEN 105B,A," This class was interesting, but a bit difficult for me coming in as a new HBS major who wasn't used to writing essays. Professor Lynch Alfaro is easily one of my favorite professors in the ISG and at UCLA. She is a clear lecturer with organized lectures, encourages thoughtful discussion, asks for student feedback, and genuinely cares about her students. For this class, my TA was Celeste and she was also a wonderful TA: super kind and caring, always smiling, and very helpful when it came to the essays. This class is graded on the basis of 3 essays (15% each), a final (30%), reading quizzes on CCLe (8 out of the 10 weeks) , section attendance/participation (this is just showing up, mostly), and clicker questions. The material of this class is interesting, but since it bridges more into the humanities than I was used to as a science major, I often times had to reread through the material to understand it. There are readings assigned each week, and honestly, I stopped reading them 4 weeks in and did just fine, as the most important points (needed for the essay, final) are highlighted on the lecture slides. For the essays, the TAs basically tell you what readings to use so you can use this to hone in on the specific ones to draw evidence from.  The first essay is definitely the hardest but the prompts get progressively easier. For the essays, I would say to start early and attend section to know what the TAs are looking for.  The final is relatively easy, it was about 100 or so T/F and multiple choice questions that really were just dependent on recall."
Jessica Lynch-Alfaro,NA,Problems of Identity at Biology/Society Interface,SOC GEN 105B,B,"Interesting material, very engaging. Come to class on time to make sure you receive the clicker points for participation. My TA was great but a tough grader. Got a solid B in the course although I think I could have done better."
Jessica Lynch-Alfaro,NA,Hormones and Behavior in Humans and Other Animals,ANTHRO M128R,A+,"I loved her. She was an absolute gem. I genuinely enjoyed this class so much. She had a HARD focus on fulfilling the diversity requirement, which I really enjoyed in a science course. You can tell that she cares very deeply about the issues she discusses, is very mindful and caring towards students, super patient, is willing to work with students and is very understanding. I have never had a professor this sweet before, and I never even went to her office hours. Though I probably should have. I would take 10 more courses with her if I could. I feel like a learned a whole lot while also taking it easy and not being stressed out at all throughout the quarter. She gave many extra credit opportunities, including watching a movie on conversion therapy, writing a short page on gender identity, etc. She is so great. She even extended one of the due dates for an assignment in case students didn't have enough time, and she even agreed to drop the lowest quiz score for the entire class because some students were experiencing technical problems on the website while taking them. Amazing!Overall, the class is really interesting. Makes you think about gender and sexuality in a different way. There are 5 online quizzes (she dropped the lowest one), two midterms, and one research paper that is very fluid and very clear on what she wants you to do. Very straight forward overall, she makes sure everyone is on the same page like all the time. We also were lucky to have an amazing TA (Andrew) who was super helpful and sweet and made the class even better. This was probably one of the best classes I've taken at UCLA thus far."
Jessica Lynch-Alfaro,NA,Hormones and Behavior in Humans and Other Animals,SOC GEN M140,A," I took this class Fall of 2017 with Lynch Alfaro and Schlinger and received an A. I would highly recommend taking this class as an elective. It builds upon some knowledge of the classes and actions of hormones, as well as the endocrine system, so a background is helpful (but not necessary). Overall, this class was pretty interesting, clearly taught, and not too much work.  CLASS FORMATThe first half of the class was taught by Professor Schlinger, who is very knowledgable about songbirds. For the first few lectures he didn't use slides but taking notes wasn't too difficult. The second half was taught by Lynch Alfaro, whose slides were clear and pretty easy to follow. WORKThere is assigned reading, and a reading quiz on CCLE (8 or so qs) on one of the readings every week. You need to do quizzes 8 out of 10 weeks. They are fairly easy. The readings are definitely not necessary; you only need to know what is mentioned in lecture.  TEXTBOOKThere is a textbook for this class, but it definitely is not necessary.  GRADINGThe grade is based off of a midterm, final, clicker participation (there are free days), section attendance, and final paper (7 pages). The tests are very straightforward and fair (MC, matching, short answer, and essays). Make sure you watch the videos because they came up on the exams. The final paper is pretty straightforward as well."
Jessica Lynch-Alfaro,NA,Hormones and Behavior in Humans and Other Animals,SOC GEN M140,A," CLASS:The class, Hormones and Behavior in Humans and Other Animals, is highly interesting if a bit confusing in the beginning. It covers hormones in humans, fish, birds, rats, and other species like many non-human primates. It didn't feel like I went to class since there wasn't a discussion section and it was at 9:30 so I was asleep for it most of the time. The tests are doable if you study the material. UNDERSTAND TINBERGEN'S FOUR QUESTIONS (anthro term if you don't know it) LYNCH ALFARO:JLA is a highly helpful professor who teaches the majority of the course aside from Schlinger and some guest speakers.  She makes herself available for Skype office hours and is always helpful and availabl e. SCHLINGER:Schlinger is  grumpy old man who doesn't really care about students. He's obsessed with birds, which is what he teaches about (songbirds, manakins, and general physiology of male/female reproductive systems and hormones associated with it). His lectures aren't podcasted and he flaked on me for an office hour once. He only teaches like 5-6 lectures so I still recommend the course, and his material is not ultra heavily tested on the exams."
Jessica Lynch-Alfaro,NA,Hormones and Behavior in Humans and Other Animals,PHYSCI M140,A,"I just couldn't help to leave a review. I liked the class, it was pretty easy and fun. Dr. Lynch Alfaro was a very very nice professor. The only thing that bothers me is that her lecture was not well organized. It was compiled with abundant facts here and there. At least to me, she did not present a full picture of her topic. Everything else was good."
